
## / (https://www.elba.no)
A | sans-serif | 400 | 12px | normal | rgb(0, 0, 238) | rgba(0, 0, 0, 0) | 
H6 | Figtree | 500 | 12px | 14.4px | rgb(145, 145, 145) | rgba(0, 0, 0, 0) | Regnskap
H6 | Figtree | 500 | 12px | 14.4px | rgb(145, 145, 145) | rgba(0, 0, 0, 0) | eva@elba.no
H2 | Figtree | 600 | 50px | 62.5px | rgb(255, 255, 255) | rgba(0, 0, 0, 0) | Send oss en forespørsel
A | sans-serif | 400 | 12px | normal | rgb(0, 0, 238) | rgba(0, 0, 0, 0) | Kontakt oss
P | Figtree | 400 | 18px | 14.4px | rgb(68, 68, 68) | rgba(0, 0, 0, 0) | Fabrikkgata 11D, 3320 Vestfossen
P | Figtree | 400 | 18px | 14.4px | rgb(68, 68, 68) | rgba(0, 0, 0, 0) | 32 25 20 30
P | Figtree | 400 | 18px | 14.4px | rgb(68, 68, 68) | rgba(0, 0, 0, 0) | elba@elba.no
H4 | Inter | 600 | 20px | 32px | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | Selskapet
P | Inter | 400 | 16px | 30.4px | rgb(68, 68, 68) | rgba(0, 0, 0, 0) | Hjem
A | Inter | 400 | 16px | 30.4px | rgb(68, 68, 68) | rgba(0, 0, 0, 0) | Hjem
P | Inter | 400 | 16px | 30.4px | rgb(68, 68, 68) | rgba(0, 0, 0, 0) | Om oss
A | Inter | 400 | 16px | 30.4px | rgb(68, 68, 68) | rgba(0, 0, 0, 0) | Om oss
P | Inter | 400 | 16px | 30.4px | rgb(68, 68, 68) | rgba(0, 0, 0, 0) | Artikler
A | Inter | 400 | 16px | 30.4px | rgb(68, 68, 68) | rgba(0, 0, 0, 0) | Artikler
P | Inter | 400 | 16px | 30.4px | rgb(68, 68, 68) | rgba(0, 0, 0, 0) | Tjenester
A | Inter | 400 | 16px | 30.4px | rgb(68, 68, 68) | rgba(0, 0, 0, 0) | Tjenester
P | Inter | 400 | 16px | 30.4px | rgb(68, 68, 68) | rgba(0, 0, 0, 0) | Etikk og ansvar
A | Inter | 400 | 16px | 30.4px | rgb(68, 68, 68) | rgba(0, 0, 0, 0) | Etikk og ansvar

## /anlegg (https://www.elba.no)
A | sans-serif | 400 | 12px | normal | rgb(0, 0, 238) | rgba(0, 0, 0, 0) | 
P | Figtree | 400 | 16px | 30.4px | rgb(255, 255, 255) | rgba(0, 0, 0, 0) | Hjem
A | Figtree | 400 | 16px | 30.4px | rgb(255, 255, 255) | rgba(0, 0, 0, 0) | Hjem
P | Figtree | 400 | 16px | 30.4px | rgb(255, 255, 255) | rgba(0, 0, 0, 0) | Om oss
A | Figtree | 400 | 16px | 30.4px | rgb(255, 255, 255) | rgba(0, 0, 0, 0) | Om oss
P | Figtree | 400 | 16px | 30.4px | rgb(255, 255, 255) | rgba(0, 0, 0, 0) | Artikler
A | Figtree | 400 | 16px | 30.4px | rgb(255, 255, 255) | rgba(0, 0, 0, 0) | Artikler
P | Figtree | 400 | 16px | 30.4px | rgb(255, 255, 255) | rgba(0, 0, 0, 0) | Tjenester
A | Figtree | 400 | 16px | 30.4px | rgb(255, 255, 255) | rgba(0, 0, 0, 0) | Tjenester
A | sans-serif | 400 | 12px | normal | rgb(0, 0, 238) | rgb(193, 30, 49) | Kontakt oss
P | Figtree | 600 | 16px | 19.2px | rgb(255, 255, 255) | rgba(0, 0, 0, 0) | Kontakt oss
H1 | Figtree | 600 | 70px | 84px | rgb(255, 255, 255) | rgba(0, 0, 0, 0) | Anlegg
P | Figtree | 400 | 18px | 34.2px | rgb(221, 221, 221) | rgba(0, 0, 0, 0) | Presis kontinuerlig smøring til din mask
P | Inter | 500 | 14px | 14px | rgb(193, 30, 49) | rgba(0, 0, 0, 0) | Anlegg
H1 | Inter | 700 | 30px | 36px | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | Driftssikre smøresystemer
P | Inter | 400 | 16px | 30.4px | rgb(68, 68, 68) | rgba(0, 0, 0, 0) | ELBA leverer sentralsmøreanlegg til grav
H1 | Inter | 700 | 30px | 36px | rgb(255, 255, 255) | rgba(0, 0, 0, 0) | Effektive løsninger
P | Figtree | 400 | 18px | 34.2px | rgb(255, 182, 193) | rgba(0, 0, 0, 0) | Fra enkle pumpesystemer til løsninger me
H1 | Inter | 700 | 30px | 36px | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | Profesjonell levering
P | Figtree | 400 | 18px | 34.2px | rgb(68, 68, 68) | rgba(0, 0, 0, 0) | Vi leverer komplette kit til forhandlere
H2 | Figtree | 600 | 50px | 62.5px | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | Hvordan fungerer det?
H4 | Figtree | 600 | 20px | 32px | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | Kan systemet ettermonteres?
P | Figtree | 400 | 16px | 30.4px | rgb(68, 68, 68) | rgba(0, 0, 0, 0) | Ja. Vi leverer modelltilpassede kit for 
H4 | Figtree | 600 | 20px | 32px | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | Hvor driftssikkert er systemet?
H4 | Figtree | 600 | 20px | 32px | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | Hva skjer dersom systemet får en feil?
P | Figtree | 400 | 16px | 30.4px | rgb(68, 68, 68) | rgba(0, 0, 0, 0) | Ved eventuelle avvik gir overvåkede syst
H2 | Figtree | 600 | 50px | 62.5px | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | Digital overvåking
P | Figtree | 400 | 18px | 34.2px | rgb(68, 68, 68) | rgba(0, 0, 0, 0) | Vi tilbyr digital overvåking av sentrals
P | Figtree | 400 | 18px | 34.2px | rgb(68, 68, 68) | rgba(0, 0, 0, 0) | Løsningene kan varsle fører ved avvik og
H4 | Inter | 600 | 20px | 32px | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | Oversikt
H4 | Inter | 600 | 20px | 32px | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | Varsling
H4 | Inter | 600 | 20px | 32px | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | Sporbarhet
H2 | Figtree | 600 | 50px | 62.5px | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | Nøkkelfunksjoner
H4 | Figtree | 600 | 20px | 32px | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | Jevn dosering
P | Figtree | 400 | 16px | 30.4px | rgb(68, 68, 68) | rgba(0, 0, 0, 0) | Riktig fettmengde tilføres automatisk me
H4 | Figtree | 600 | 20px | 32px | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | Redusert nedetid
P | Figtree | 400 | 16px | 30.4px | rgb(68, 68, 68) | rgba(0, 0, 0, 0) | Kontinuerlig smøring minimerer slitasjer
H4 | Figtree | 600 | 20px | 32px | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | Økt sikkerhet
P | Figtree | 400 | 16px | 30.4px | rgb(68, 68, 68) | rgba(0, 0, 0, 0) | Manuell smøring i risikoområder redusere
H4 | Figtree | 600 | 20px | 32px | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | Lavere kostnader
P | Figtree | 400 | 16px | 30.4px | rgb(68, 68, 68) | rgba(0, 0, 0, 0) | Mindre slitasje og færre reparasjoner gi
H4 | Figtree | 600 | 20px | 32px | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | Forlenget levetid
P | Figtree | 400 | 16px | 30.4px | rgb(68, 68, 68) | rgba(0, 0, 0, 0) | Bolter, lager og ledd får optimal smørin
H4 | Figtree | 600 | 20px | 32px | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | Redusert forbruk
P | Figtree | 400 | 16px | 30.4px | rgb(68, 68, 68) | rgba(0, 0, 0, 0) | Presis og kontrollert dosering minimerer
H2 | Figtree | 600 | 50px | 62.5px | rgb(255, 255, 255) | rgba(0, 0, 0, 0) | 30y
P | Figtree | 400 | 16px | 30.4px | rgb(221, 221, 221) | rgba(0, 0, 0, 0) | Erfaring
H2 | Figtree | 600 | 50px | 62.5px | rgb(255, 255, 255) | rgba(0, 0, 0, 0) | 2k+
P | Figtree | 400 | 16px | 30.4px | rgb(221, 221, 221) | rgba(0, 0, 0, 0) | Montasjer
H2 | Figtree | 600 | 50px | 62.5px | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | Erfaring i praksis
P | Figtree | 400 | 18px | 34.2px | rgb(68, 68, 68) | rgba(0, 0, 0, 0) | Elba leverer og installerer sentralsmøre
P | Figtree | 400 | 18px | 34.2px | rgb(68, 68, 68) | rgba(0, 0, 0, 0) | 
P | Figtree | 400 | 18px | 34.2px | rgb(68, 68, 68) | rgba(0, 0, 0, 0) | Vi arbeider strukturert og prioriterer r
A | sans-serif | 400 | 12px | normal | rgb(0, 0, 238) | rgb(193, 30, 49) | Om oss
P | Figtree | 600 | 16px | 19.2px | rgb(255, 255, 255) | rgba(0, 0, 0, 0) | Om oss
H2 | Figtree | 600 | 50px | 62.5px | rgb(255, 255, 255) | rgba(0, 0, 0, 0) | Send oss en forespørsel
A | sans-serif | 400 | 12px | normal | rgb(0, 0, 238) | rgba(0, 0, 0, 0) | Kontakt oss
P | Figtree | 400 | 18px | 14.4px | rgb(68, 68, 68) | rgba(0, 0, 0, 0) | Fabrikkgata 11D, 3320 Vestfossen
P | Figtree | 400 | 18px | 14.4px | rgb(68, 68, 68) | rgba(0, 0, 0, 0) | 32 25 20 30
P | Figtree | 400 | 18px | 14.4px | rgb(68, 68, 68) | rgba(0, 0, 0, 0) | elba@elba.no
H4 | Inter | 600 | 20px | 32px | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | Selskapet
P | Inter | 400 | 16px | 30.4px | rgb(68, 68, 68) | rgba(0, 0, 0, 0) | Hjem
A | Inter | 400 | 16px | 30.4px | rgb(68, 68, 68) | rgba(0, 0, 0, 0) | Hjem
P | Inter | 400 | 16px | 30.4px | rgb(68, 68, 68) | rgba(0, 0, 0, 0) | Om oss
A | Inter | 400 | 16px | 30.4px | rgb(68, 68, 68) | rgba(0, 0, 0, 0) | Om oss
P | Inter | 400 | 16px | 30.4px | rgb(68, 68, 68) | rgba(0, 0, 0, 0) | Artikler
A | Inter | 400 | 16px | 30.4px | rgb(68, 68, 68) | rgba(0, 0, 0, 0) | Artikler
P | Inter | 400 | 16px | 30.4px | rgb(68, 68, 68) | rgba(0, 0, 0, 0) | Tjenester
A | Inter | 400 | 16px | 30.4px | rgb(68, 68, 68) | rgba(0, 0, 0, 0) | Tjenester
